# seed=20260723001 wall_start=2026-07-26 14:17:04 fmt=v2
sim_t,x,y,yaw_deg,p0x,p0y,p1x,p1y,p2x,p2y
12.600,3.091,-0.694,42.2,-3.442,-2.584,-5.782,6.864,8.345,-7.747
12.700,3.111,-0.664,46.8,-3.446,-2.684,-5.717,6.931,8.345,-7.747
12.800,3.114,-0.647,52.0,-3.451,-2.784,-5.652,6.997,8.345,-7.747
12.900,3.111,-0.633,57.7,-3.455,-2.884,-5.586,7.063,8.345,-7.747
13.000,3.108,-0.620,63.0,-3.459,-2.984,-5.521,7.129,8.345,-7.747
13.100,3.104,-0.608,68.1,-3.463,-3.084,-5.456,7.196,8.345,-7.747
13.200,3.099,-0.596,72.7,-3.467,-3.184,-5.391,7.262,8.345,-7.747
13.300,3.095,-0.585,76.5,-3.471,-3.284,-5.325,7.328,8.345,-7.747
13.400,3.098,-0.569,77.0,-3.475,-3.384,-5.260,7.395,8.345,-7.747
13.500,3.109,-0.553,73.4,-3.479,-3.483,-5.195,7.461,8.345,-7.747
13.600,3.120,-0.542,69.3,-3.484,-3.583,-5.130,7.527,8.345,-7.747
13.700,3.132,-0.534,64.8,-3.487,-3.667,-5.064,7.593,8.345,-7.747
13.800,3.144,-0.528,60.2,-3.489,-3.767,-4.999,7.660,8.345,-7.747
13.900,3.158,-0.521,56.0,-3.492,-3.867,-4.977,7.682,8.345,-7.747
14.000,3.172,-0.513,52.0,-3.494,-3.967,-4.977,7.682,8.345,-7.747
14.100,3.188,-0.505,48.3,-3.496,-4.066,-4.977,7.682,8.345,-7.747
14.200,3.204,-0.496,45.2,-3.499,-4.166,-4.977,7.682,8.345,-7.747
14.300,3.209,-0.488,46.2,-3.501,-4.266,-4.977,7.682,8.345,-7.747
14.400,3.208,-0.475,51.3,-3.503,-4.366,-4.977,7.682,8.345,-7.747
14.500,3.218,-0.445,56.6,-3.506,-4.466,-4.977,7.682,8.345,-7.747
14.600,3.231,-0.408,61.4,-3.508,-4.566,-4.977,7.682,8.345,-7.747
14.700,3.240,-0.369,66.1,-3.510,-4.666,-4.977,7.682,8.345,-7.747
14.800,3.240,-0.347,70.9,-3.513,-4.766,-4.977,7.682,8.345,-7.747
14.900,3.235,-0.328,76.5,-3.515,-4.866,-4.977,7.682,8.345,-7.747
15.000,3.238,-0.310,77.2,-3.517,-4.966,-4.977,7.682,8.345,-7.747
15.100,3.247,-0.298,74.0,-3.520,-5.066,-4.977,7.682,8.345,-7.747
15.200,3.257,-0.290,70.1,-3.522,-5.166,-4.977,7.682,8.345,-7.747
15.300,3.267,-0.285,65.8,-3.524,-5.266,-4.977,7.682,8.345,-7.747
15.400,3.277,-0.283,61.3,-3.527,-5.366,-4.977,7.682,8.345,-7.747
15.500,3.287,-0.281,57.0,-3.529,-5.466,-4.977,7.682,8.345,-7.747
15.600,3.297,-0.278,53.1,-3.531,-5.566,-4.977,7.682,8.345,-7.747
15.700,3.308,-0.275,49.5,-3.534,-5.666,-4.977,7.682,8.345,-7.747
15.800,3.313,-0.269,49.5,-3.536,-5.766,-4.977,7.682,8.345,-7.747
15.900,3.318,-0.251,53.5,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.000,3.331,-0.215,58.3,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.100,3.343,-0.177,63.0,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.200,3.352,-0.138,67.7,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.300,3.357,-0.099,72.4,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.400,3.359,-0.059,77.1,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.500,3.358,-0.030,80.9,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.600,3.359,-0.026,80.6,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.700,3.354,-0.025,83.5,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.800,3.349,-0.023,86.8,-3.539,-5.866,-4.977,7.682,8.345,-7.747
16.900,3.352,-0.019,84.9,-3.539,-5.866,-5.009,7.647,8.345,-7.747
17.000,3.362,-0.016,79.4,-3.539,-5.866,-5.071,7.579,8.345,-7.747
17.100,3.373,-0.013,73.8,-3.539,-5.866,-5.134,7.510,8.345,-7.747
17.200,3.384,-0.012,68.2,-3.539,-5.866,-5.196,7.441,8.345,-7.747
17.300,3.395,-0.011,62.6,-3.539,-5.866,-5.259,7.372,8.345,-7.747
17.400,3.406,-0.012,57.0,-3.539,-5.866,-5.321,7.303,8.345,-7.747
17.500,3.417,-0.014,51.4,-3.539,-5.866,-5.384,7.234,8.345,-7.747
17.600,3.427,-0.016,45.8,-3.539,-5.866,-5.446,7.165,8.345,-7.747
17.700,3.437,-0.020,40.2,-3.539,-5.866,-5.509,7.097,8.345,-7.747
17.800,3.450,-0.023,34.7,-3.539,-5.866,-5.571,7.028,8.345,-7.747
17.900,3.477,-0.010,32.3,-3.539,-5.866,-5.634,6.959,8.345,-7.747
18.000,3.506,0.015,35.1,-3.539,-5.866,-5.697,6.890,8.345,-7.747
18.100,3.534,0.043,38.4,-3.539,-5.866,-5.759,6.821,8.345,-7.747
18.200,3.559,0.074,42.6,-3.539,-5.866,-5.822,6.752,8.345,-7.747
18.300,3.580,0.107,47.3,-3.539,-5.866,-5.884,6.684,8.345,-7.747
18.400,3.599,0.142,51.9,-3.539,-5.866,-5.947,6.615,8.345,-7.747
18.500,3.606,0.160,54.7,-3.539,-5.866,-6.009,6.546,8.345,-7.747
18.600,3.610,0.170,56.2,-3.539,-5.866,-6.072,6.477,8.345,-7.747
18.700,3.615,0.181,57.5,-3.539,-5.866,-6.134,6.408,8.345,-7.747
18.800,3.623,0.197,58.3,-3.539,-5.866,-6.197,6.339,8.345,-7.747
18.900,3.641,0.223,57.2,-3.539,-5.866,-6.259,6.270,8.345,-7.747
19.000,3.664,0.250,54.9,-3.537,-5.783,-6.322,6.202,8.345,-7.747
19.100,3.690,0.277,52.4,-3.534,-5.683,-6.384,6.133,8.345,-7.747
19.200,3.717,0.303,49.8,-3.532,-5.583,-6.447,6.064,8.345,-7.747
19.300,3.743,0.327,47.6,-3.530,-5.483,-6.509,5.995,8.345,-7.747
19.400,3.768,0.349,45.9,-3.527,-5.383,-6.572,5.926,8.345,-7.747
19.500,3.789,0.367,44.8,-3.525,-5.283,-6.634,5.857,8.345,-7.747
19.600,3.796,0.377,45.9,-3.523,-5.183,-6.697,5.789,8.345,-7.747
19.700,3.801,0.386,47.4,-3.521,-5.083,-6.759,5.720,8.345,-7.747
19.800,3.804,0.395,49.1,-3.518,-4.983,-6.822,5.651,8.345,-7.747
19.900,3.808,0.404,50.9,-3.516,-4.883,-6.885,5.582,8.345,-7.747
20.000,3.811,0.413,52.6,-3.514,-4.783,-6.947,5.513,8.345,-7.747
20.100,3.814,0.421,54.2,-3.512,-4.683,-7.010,5.444,8.345,-7.747
20.200,3.818,0.431,55.5,-3.509,-4.583,-7.072,5.375,8.345,-7.747
20.300,3.823,0.442,56.7,-3.507,-4.483,-7.135,5.307,8.345,-7.747
20.400,3.828,0.454,57.8,-3.505,-4.383,-7.197,5.238,8.345,-7.747
20.500,3.834,0.467,58.7,-3.502,-4.283,-7.260,5.169,8.345,-7.747
20.600,3.841,0.480,59.6,-3.500,-4.183,-7.322,5.100,8.345,-7.747
